Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
| Wide-Resnet 28x10
P(y|x) 1:102 loss=   2.042861462, acc=   0.171875000
P(x) | 1:10 f(x_p_d)=   5.532543659 f(x_q)=   4.172273636 d=   1.360270023
P(y|x) 1:103 loss=   2.025021315, acc=   0.171875000
P(x) | 1:11 f(x_p_d)=   5.405232430 f(x_q)=   4.046364784 d=   1.358867645
P(y|x) 1:104 loss=   2.047691345, acc=   0.156250000
P(x) | 1:12 f(x_p_d)=   5.193213463 f(x_q)=   3.645541430 d=   1.547672033
P(y|x) 1:105 loss=   2.046402693, acc=   0.195312500
P(x) | 1:13 f(x_p_d)=   4.894715309 f(x_q)=   3.151485920 d=   1.743229389
P(y|x) 1:106 loss=   2.089511633, acc=   0.140625000
P(x) | 1:14 f(x_p_d)=   4.841549873 f(x_q)=   2.460207462 d=   2.381342411
P(y|x) 1:107 loss=   2.031463623, acc=   0.218750000
P(x) | 1:15 f(x_p_d)=   4.649787903 f(x_q)=   0.888767123 d=   3.761020660
P(y|x) 1:108 loss=   2.015826225, acc=   0.281250000
P(x) | 1:16 f(x_p_d)=   4.590680122 f(x_q)=   0.296025187 d=   4.294654846
P(y|x) 1:109 loss=   2.033042192, acc=   0.257812500
P(x) | 1:17 f(x_p_d)=   4.313706398 f(x_q)=  -0.949172139 d=   5.262878418
P(y|x) 1:110 loss=   2.047623634, acc=   0.257812500
P(x) | 1:18 f(x_p_d)=   4.068241119 f(x_q)=  -1.837674379 d=   5.905915260
P(y|x) 1:111 loss=   2.044144392, acc=   0.218750000
P(x) | 1:19 f(x_p_d)=   3.949520111 f(x_q)=  -3.110532761 d=   7.060052872
P(y|x) 1:112 loss=   1.983655572, acc=   0.289062500
P(x) | 1:20 f(x_p_d)=   3.752385616 f(x_q)=  -3.560711861 d=   7.313097477
P(y|x) 1:113 loss=   1.995117903, acc=   0.218750000
P(x) | 1:21 f(x_p_d)=   3.508513927 f(x_q)=  -4.536684036 d=   8.045198441
P(y|x) 1:114 loss=   2.011233568, acc=   0.296875000
P(x) | 1:22 f(x_p_d)=   2.663957834 f(x_q)=  -5.764843941 d=   8.428801537
P(y|x) 1:115 loss=   1.998140097, acc=   0.304687500
P(x) | 1:23 f(x_p_d)=   2.022595882 f(x_q)=  -7.370963097 d=   9.393558502
P(y|x) 1:116 loss=   2.015303850, acc=   0.242187500
P(x) | 1:24 f(x_p_d)=   2.091704845 f(x_q)=  -8.481145859 d=  10.572851181
P(y|x) 1:117 loss=   2.012332201, acc=   0.210937500
P(x) | 1:25 f(x_p_d)=   1.369362950 f(x_q)=  -9.542205811 d=  10.911568642
P(y|x) 1:118 loss=   1.964546680, acc=   0.265625000
P(x) | 1:26 f(x_p_d)=  -0.148978502 f(x_q)=  -4.076678276 d=   3.927699804
